Time,Data
0.0,-0.0029046147054279403
0.001,-0.017134073739528084
0.002,-0.02167875841541165
0.003,-0.018426220887788964
0.004,-0.016187783096037
0.005,-0.022858703668016872
0.006,-0.04158034504437431
0.007,-0.06314899441232537
0.008,-0.0806522143288832
0.009,-0.08232929597964303
0.01,-0.07396713107525686
0.011,-0.07824221152109441
0.012,-0.1010963519663471
0.013,-0.12360663721017941
0.014,-0.12464161382827972
0.015,-0.09801309131185115
0.016,-0.07542339129932428
0.017,-0.0720540646073866
0.018,-0.0817591206602117
0.019,-0.09327989146088532
0.02,-0.09740865061629587
0.021,-0.08660285888052455
0.022,-0.06651179442717413
0.023,-0.0625327662261106
0.024,-0.07248947416454142
0.025,-0.08502924367476397
0.026,-0.08899439259065325
0.027,-0.07499746748680995
0.028,-0.06162096933320918
0.029,-0.06571967151266461
0.03,-0.08387457929158416
0.031,-0.09539306641885953
0.032,-0.09428097595549545
0.033,-0.0764124207879973
0.034,-0.05970627992640938
0.035,-0.055953979119351474
0.036,-0.06788939305896907
0.037,-0.08093409642505227
0.038,-0.07216490632092246
0.039,-0.05421241191843054
0.04,-0.0537497401417328
0.041,-0.07294685598561546
0.042,-0.08383643488472929
0.043,-0.07473522148573541
0.044,-0.05295303364109159
0.045,-0.048373279668816584
0.046,-0.07324972440572879
0.047,-0.09237495658553146
0.048,-0.08230577124342425
0.049,-0.051540976261706874
0.05,-0.03382185691499426
0.051,-0.05106540447172991
0.052,-0.08507070742323
0.053,-0.09727656942546871
0.054,-0.07554020034121742
0.055,-0.037773074958465484
0.056,-0.026534955219105587
0.057,-0.06117261511054958
0.058,-0.09162520860896166
0.059,-0.07960067066380708
0.06,-0.04363803754553028
0.061,-0.025048730215157914
0.062,-0.039667660554110175
0.063,-0.06865807069237899
0.064,-0.07599282421761432
0.065,-0.05655665229699962
0.066,-0.03737480342764639
0.067,-0.02661679642800655
0.068,-0.02821388726605692
0.069,-0.035906591939917146
0.07,-0.03605520199815819
0.071,-0.031652272604988686
0.072,-0.025007499365488548
0.073,-0.017407829717912864
0.074,-0.014276663336014008
0.075,-0.01668600558369735
0.076,-0.023705119139131058
0.077,-0.03370606604245459
0.078,-0.030546952946726016
0.079,-0.014975556077807052
0.08,-0.00903612988508021
0.081,-0.018889708026759763
0.082,-0.02628522781280035
0.083,-0.026166313863975395
0.084,-0.02149693189800478
0.085,-0.01615599155952168
0.086,-0.01616700631954004
0.087,-0.024892715712611334
0.088,-0.03434293024821955
0.089,-0.03856757556184371
0.09,-0.033723786515276334
0.091,-0.041720800876891555
0.092,-0.05211400924231707
0.093,-0.048174820567337205
0.094,-0.04226640599419924
0.095,-0.04268891968415061
0.096,-0.0599878386886413
0.097,-0.08011864059664946
0.098,-0.07843938301693397
0.099,-0.055403012737898535
0.1,-0.04813866218952612
0.101,-0.0641455575921618
0.102,-0.08198464833128827
0.103,-0.08822746324032044
0.104,-0.07316549986300899
0.105,-0.05903998449757783
0.106,-0.06558133371346928
0.107,-0.08888722313583182
0.108,-0.10955500166925404
0.109,-0.10692427250946453
0.11,-0.08603412542783634
0.111,-0.08427517079464635
0.112,-0.10356972765929064
0.113,-0.12090457109982948
0.114,-0.121751959402195
0.115,-0.1033011835445602
0.116,-0.09254897630916945
0.117,-0.10979940482077918
0.118,-0.12419609814811859
0.119,-0.11771819980970859
0.12,-0.1064250745378389
0.121,-0.10633963473552054
0.122,-0.12182027504320685
0.123,-0.13720585775978422
0.124,-0.13104547368123542
0.125,-0.10619982483127702
0.126,-0.0918977144820265
0.127,-0.10230791774866083
0.128,-0.125747537945744
0.129,-0.12798513309561846
0.13,-0.09688009849638325
0.131,-0.06909678608085762
0.132,-0.07203515790887885
0.133,-0.09595146605151197
0.134,-0.11780385737212787
0.135,-0.11613112527630792
0.136,-0.09194938819826803
0.137,-0.07858681538799688
0.138,-0.08320957970203623
0.139,-0.0899697497796612
0.14,-0.10175268675046523
0.141,-0.1126148054291932
0.142,-0.10926494402956774
0.143,-0.10184308407313898
0.144,-0.09399761047015041
0.145,-0.09250240020082086
0.146,-0.11341309360498704
0.147,-0.13588014515650026
0.148,-0.13818603239635122
0.149,-0.1169101249039618
0.15,-0.09297159927745756
0.151,-0.10471187574180772
0.152,-0.1462982960393004
0.153,-0.17582386310283005
0.154,-0.15998067524206686
0.155,-0.11902068147236629
0.156,-0.10385122642678371
0.157,-0.1290457129602812
0.158,-0.17262793347746533
0.159,-0.19615054800012083
0.16,-0.18017287727922182
0.161,-0.1467922838398964
0.162,-0.1344175154030172
0.163,-0.1438271804282773
0.164,-0.14893722065609147
0.165,-0.13659725913609663
0.166,-0.11313982347481924
0.167,-0.09133276068919433
0.168,-0.06894696090845412
0.169,-0.03291578061121157
0.17,0.015295799030390857
0.171,0.054437718874702924
0.172,0.09159252548658818
0.173,0.14612381581020845
0.174,0.22160632150041212
0.175,0.32102280952520873
0.176,0.4172042647039466
0.177,0.4779783549298109
0.178,0.5199955070801008
0.179,0.5884433497477896
0.18,0.6970410340960147
0.181,0.8175580890335576
0.182,0.9159434015448955
0.183,0.9841141059234367
0.184,1.052009659601091
0.185,1.137861028959236
0.186,1.2327185026555205
0.187,1.3343519128482613
0.188,1.4331382659187384
0.189,1.5093612209862814
0.19,1.5724685545635728
0.191,1.6177886912889874
0.192,1.63539192669133
0.193,1.642759942777909
0.194,1.672864487469944
0.195,1.7164526492679457
0.196,1.7043204313740579
0.197,1.5949520884609028
0.198,1.4450837702131663
0.199,1.3492746372959101
0.2,1.3348666264702385
0.201,1.3314885501513325
0.202,1.24099297016692
0.203,1.0611134978544852
0.204,0.8858140816368654
0.205,0.7874292612125964
0.206,0.7469301207444
0.207,0.6914502404125719
0.208,0.5586097619660353
0.209,0.385900435252421
0.21,0.2573948883981851
0.211,0.1827552943631145
0.212,0.12869385745768938
0.213,0.07073298886661762
0.214,-0.0073982716862698
0.215,-0.09673028126534523
0.216,-0.16102670196942995
0.217,-0.17085706670542244
0.218,-0.1410853142380093
0.219,-0.11216450088763777
0.22,-0.10435846076925737
0.221,-0.10908869272199814
0.222,-0.13071574800534447
0.223,-0.15296303888091425
0.224,-0.14665061164660828
0.225,-0.11121810812145815
0.226,-0.06635585160294304
0.227,-0.06113448492912285
0.228,-0.10354269410511915
0.229,-0.14410529320504803
0.23,-0.13643681274001612
0.231,-0.09375843712969854
0.232,-0.06377945292006507
0.233,-0.07422495702838842
0.234,-0.11855548537561682
0.235,-0.15196515712817546
0.236,-0.14554820074203764
0.237,-0.11860038990339627
0.238,-0.09934050237792809
0.239,-0.1049496948229842
0.24,-0.12956717222032677
0.241,-0.14376026247334003
0.242,-0.13844465650277898
0.243,-0.1249913739311624
0.244,-0.1186961049307458
0.245,-0.12085990380574177
0.246,-0.12168964910233294
0.247,-0.1122167202978159
0.248,-0.10849421752679374
0.249,-0.12388450043179856
0.25,-0.13526408693520522
0.251,-0.12108893313921586
0.252,-0.0957176055452797
0.253,-0.08812935578730048
0.254,-0.10525937073153714
0.255,-0.13066814390872755
0.256,-0.13721537715122753
0.257,-0.12456933027824948
0.258,-0.10194915624811357
0.259,-0.08860216343532235
0.26,-0.10682036529028956
0.261,-0.13719109474103472
0.262,-0.14847637934734517
0.263,-0.1374422885360176
0.264,-0.10677712207245471
0.265,-0.08998837390954263
0.266,-0.1054139129867192
0.267,-0.13215021989357956
0.268,-0.14484993947205352
0.269,-0.13155902117620058
0.27,-0.10158344638438861
0.271,-0.0877826310376167
0.272,-0.10149251847899216
0.273,-0.12770932736360102
0.274,-0.13807534791405887
0.275,-0.11618329372874688
0.276,-0.07793103187619395
0.277,-0.0644071581497527
0.278,-0.08487929271661498
0.279,-0.11225575042925194
0.28,-0.11854982437594516
0.281,-0.09551496502073117
0.282,-0.071766878536308
0.283,-0.08248354019421003
0.284,-0.10615359162575747
0.285,-0.11658543008412044
0.286,-0.10273834942265685
0.287,-0.08338773331343592
0.288,-0.08028503283394314
0.289,-0.09323218329566133
0.29,-0.10122650677979478
0.291,-0.09474615449524883
0.292,-0.08797405405410677
0.293,-0.09278650763268702
0.294,-0.10382782891264543
0.295,-0.10689221348535262
0.296,-0.09856412197104233
0.297,-0.09237184661438419
0.298,-0.09407459661641858
0.299,-0.10229595782225265
0.3,-0.10783074646178298
0.301,-0.09600558927873165
0.302,-0.07801663321649521
0.303,-0.07559015659582592
0.304,-0.09052168436473096
0.305,-0.10160280088564354
0.306,-0.10010363451024093
0.307,-0.08269090185405108
0.308,-0.07599251062767472
0.309,-0.0908786034539845
0.31,-0.09544968559164509
0.311,-0.09278980073951097
0.312,-0.09270262027282025
0.313,-0.09325565657900514
0.314,-0.08798455597253596
0.315,-0.08831191377443705
0.316,-0.09170785255972058
0.317,-0.09980523688580786
0.318,-0.10225396070175131
0.319,-0.09467813181674997
0.32,-0.09608062866159339
0.321,-0.09910256222910366
0.322,-0.09963303468812341
0.323,-0.10349333382561186
0.324,-0.10766997161773055
0.325,-0.10765343109174863
0.326,-0.09798431129697768
0.327,-0.09543444729502312
0.328,-0.10656268229997481
0.329,-0.11954829012477722
0.33,-0.11691834671698707
0.331,-0.10825240435016535
0.332,-0.10589799103892361
0.333,-0.10733558078790045
0.334,-0.10994389183770746
0.335,-0.10702698246891437
0.336,-0.10237470193535805
0.337,-0.10086153939748232
0.338,-0.10372579630098885
0.339,-0.1049492287336818
0.34,-0.10465119990589135
0.341,-0.10043444359368568
0.342,-0.09276046642276718
0.343,-0.09359718144255594
0.344,-0.10245779852535061
0.345,-0.10675362502173034
0.346,-0.099965974172177
0.347,-0.0887166647758901
0.348,-0.0906475616248173
0.349,-0.09661706388933995
0.35,-0.09523154103009582
0.351,-0.07956774222249625
0.352,-0.06981604738572045
0.353,-0.07391081556371733
0.354,-0.08756303530410948
0.355,-0.09284512879782082
0.356,-0.0843255483468317
0.357,-0.07316581976631867
0.358,-0.06571634855211335
0.359,-0.06405225083227108
0.36,-0.07126265788844192
0.361,-0.07086150201342933
0.362,-0.06218035462089637
0.363,-0.060600911639131
0.364,-0.06249832142181842
0.365,-0.0569179508115912
0.366,-0.04945737166942902
0.367,-0.048393542389182406
0.368,-0.055229254391032954
0.369,-0.06177204241765881
0.37,-0.056372640699247495
0.371,-0.04143224277027386
0.372,-0.03081549002660142
0.373,-0.030882889309000117
0.374,-0.04047056150811509
0.375,-0.048700549657206264
0.376,-0.03872888377335513
0.377,-0.021032916238150644
0.378,-0.01243663429742993
0.379,-0.024368863133930593
0.38,-0.04705199655646974
0.381,-0.051498746809040374
0.382,-0.027584136862093874
0.383,0.0019611546056733688
0.384,0.005697600357011084
0.385,-0.02358868197133941
0.386,-0.04332305239250981
0.387,-0.027648574254472806
0.388,0.004245166296276466
0.389,0.0211476046041907
0.39,0.01590138125904448
0.391,-0.0050529866572254604
0.392,-0.02067861259219676
0.393,-0.004861377725657849
0.394,0.027967350178074845
0.395,0.042187468716207696
0.396,0.027696336327936617
0.397,0.005914426385384013
0.398,0.001195529838786945
0.399,0.026614215374475454
0.4,0.05045573825019442
0.401,0.05246410964705824
0.402,0.039881823391355556
0.403,0.024065774787972692
0.404,0.022009840610414427
0.405,0.039698070695990205
0.406,0.05116594575456495
0.407,0.04628504774552533
0.408,0.029057772619869957
0.409,0.01629044327962709
0.41,0.02546018440388033
0.411,0.030153623026912
0.412,0.015267524561302094
0.413,0.00036492377934963546
0.414,0.0014832461459511478
0.415,0.013068423309378227
0.416,0.022234420426291264
0.417,0.007378207421369677
0.418,-0.017662612534290703
0.419,-0.022059375118488583
0.42,-0.007544791578976333
0.421,0.009353893048911186
0.422,0.005048169340228287
0.423,-0.025515616613281736
0.424,-0.0496723782686689
0.425,-0.04263406977146188
0.426,-0.016337750295218917
0.427,0.0022082009208026195
0.428,-0.018993813565699545
0.429,-0.06429173342784054
0.43,-0.08202580335213072
0.431,-0.05416980274450546
0.432,-0.022271515344635555
0.433,-0.02700968761674931
0.434,-0.0722379875393727
0.435,-0.10968742802327695
0.436,-0.10489002978125969
0.437,-0.07565682649906133
0.438,-0.05333201584618024
0.439,-0.06070289280116399
0.44,-0.090534409672663
0.441,-0.11115039758646354
0.442,-0.10418914345921078
0.443,-0.08607905632681341
0.444,-0.08047929684818987
0.445,-0.08856834760525364
0.446,-0.10160781983828733
0.447,-0.10273217917038457
0.448,-0.09826953857776095
0.449,-0.09630198035633519
0.45,-0.09020689409402133
0.451,-0.08002158490403811
0.452,-0.07601206548565966
0.453,-0.08022655887133685
0.454,-0.09178197312834831
0.455,-0.09239875508493126
0.456,-0.0773405101540956
0.457,-0.06093682661528476
0.458,-0.06219385721636402
0.459,-0.08466133507736
0.46,-0.10980924892171338
0.461,-0.10626534895619319
0.462,-0.07412177546673575
0.463,-0.046839110344865445
0.464,-0.06014935916066868
0.465,-0.09942074180977994
0.466,-0.11890618159226497
0.467,-0.09360203803974088
0.468,-0.060611417302352553
0.469,-0.0662211717159727
0.47,-0.10979358583678918
0.471,-0.14937733451065094
0.472,-0.14448138794842855
0.473,-0.10751415102876738
0.474,-0.08717786023570978
0.475,-0.10156192265064051
0.476,-0.13496193828883876
0.477,-0.15208629976459553
0.478,-0.13336178950584662
0.479,-0.10958098542899516
0.48,-0.11471757633620246
0.481,-0.13822823609604049
0.482,-0.15590636321451554
0.483,-0.15089427981536319
0.484,-0.13860669937187373
0.485,-0.13479014210812088
0.486,-0.14367583120698965
0.487,-0.15395816168261908
0.488,-0.15453089014753507
0.489,-0.1415066926257818
0.49,-0.1295504528073647
0.491,-0.1279279275592061
0.492,-0.13229829149927752
0.493,-0.1348274581364752
0.494,-0.13766473305876684
0.495,-0.1355173946626924
0.496,-0.130890971320194
0.497,-0.12844722624567687
0.498,-0.1278606862410634
0.499,-0.12401320465355108
0.5,-0.1293918506447648
0.501,-0.12967717480496438
0.502,-0.12225880873599489
0.503,-0.11754916254578499
0.504,-0.11649249266477314
0.505,-0.12095818826187701
0.506,-0.1199374603803463
0.507,-0.11049720953231564
0.508,-0.11002674337918425
0.509,-0.11566773056900084
0.51,-0.1129635252853394
0.511,-0.10804869057837323
0.512,-0.1036159134287389
0.513,-0.09987497829058806
0.514,-0.103271198379091
0.515,-0.10368728292234451
0.516,-0.10017903357664139
0.517,-0.0960732224787165
0.518,-0.08833578838872648
0.519,-0.09040798978361583
0.52,-0.10628752196340839
0.521,-0.10731505943103405
0.522,-0.0873555608917845
0.523,-0.07570256645492297
0.524,-0.08509744147013104
0.525,-0.10793397402639295
0.526,-0.1217785415302529
0.527,-0.10323228652956908
0.528,-0.07880052343430455
0.529,-0.08320262809883072
0.53,-0.10223082576750755
0.531,-0.11817719083636631
0.532,-0.12097745959807862
0.533,-0.11254700911201881
0.534,-0.10220781860541274
0.535,-0.10634373936782882
0.536,-0.12210675871817421
0.537,-0.13949860362162164
0.538,-0.13283224159910148
0.539,-0.11705018255610401
0.54,-0.12552288486561966
0.541,-0.14208742832744362
0.542,-0.14219260085707494
0.543,-0.12662425243002837
0.544,-0.11533359113936031
0.545,-0.12225831233349159
0.546,-0.14166845415277435
0.547,-0.14483399466385571
0.548,-0.13324265140989897
0.549,-0.11711613330633695
0.55,-0.11082237493401471
0.551,-0.12209375040772488
0.552,-0.13678994489708785
0.553,-0.13004568476355036
0.554,-0.10816716099875426
0.555,-0.09522847015345928
0.556,-0.09957018533392961
0.557,-0.11372500107026276
0.558,-0.11798611821287018
0.559,-0.1086617682531849
0.56,-0.09393779970827068
0.561,-0.09270126717605183
0.562,-0.10898508112223938
0.563,-0.12487740850483889
0.564,-0.12501634229130995
0.565,-0.11932834899538602
0.566,-0.11507091782041504
0.567,-0.11249891686514539
0.568,-0.11623607998419751
0.569,-0.12847641873791926
0.57,-0.13277628269520142
0.571,-0.1347664488905105
0.572,-0.13308754884957283
0.573,-0.12776009793165208
0.574,-0.12376348254204218
0.575,-0.12436285321392745
0.576,-0.13356681373353177
0.577,-0.14186283581632753
0.578,-0.13963318223666113
0.579,-0.12117529279213293
0.58,-0.10848490630615197
0.581,-0.11873057628708267
0.582,-0.1367655883091861
0.583,-0.13158218054236995
0.584,-0.10940764995149148
0.585,-0.09879548930688005
0.586,-0.11384134800620718
0.587,-0.1246756112859358
0.588,-0.1233739054217421
0.589,-0.11602825175127124
0.59,-0.10434604106836401
0.591,-0.10484821440878368
0.592,-0.1235470938973215
0.593,-0.13752115629085476
0.594,-0.12910129204848333
0.595,-0.11183099709466701
0.596,-0.1091381304394847
0.597,-0.13168495702397304
0.598,-0.1506761613679258
0.599,-0.14095063265067875
0.6,-0.12111355035064292
